PUMFID,LM_30,LM_35A,LM35BCDE,LM_35F,LM_35G,LM_40,MH_05,MH_15A,MH_15B,MH_15C,MH_15D,MH_15E,MH_15F,MH_15G,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_110,BH_115,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,ANXDVGAD,ANXDVSEV,ANXDVGAC,MHDVMHI,PFSCDV,RURURB,PERS_WGT,VERDATE
9397,4,2,2,2,1,4,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,4,4,4,4,4,3,3,3,1,3,3,3,3,1,4,2,5,1,1,0,1,1,7,3,1,0,0,2,3,0,1,1655.154,05/06/2020
9398,9,2,2,2,1,4,3,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,2,2,1,4,3,4,4,1,3,3,3,1,1,3,3,2,2,2,6,1,1,0,1,1,6,9,9,1,1,2,2,0,1,2296.3053,05/06/2020
9399,6,2,2,2,1,4,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,4,3,4,4,3,3,3,3,3,1,3,3,1,1,1,7,1,2,0,3,4,2,9,4,0,0,2,2,0,1,4377.9441,05/06/2020
9400,3,2,2,2,1,5,5,3,3,3,3,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,4,4,2,4,3,3,3,3,1,1,3,1,1,3,1,2,1,2,0,4,2,6,4,3,10,3,1,0,0,2,1032.8825,05/06/2020
9401,6,2,2,2,1,4,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3,4,3,3,3,1,3,3,1,1,1,3,1,1,2,2,6,1,2,0,1,1,6,9,4,1,1,2,3,0,1,2730.2304,05/06/2020
9402,5,2,2,2,1,4,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,3,4,3,4,4,3,3,3,1,1,3,3,2,3,4,2,5,1,2,0,3,1,6,1,1,3,1,2,3,0,2,4869.2273,05/06/2020
9403,6,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,1,4,3,3,2,3,3,3,3,1,1,3,3,1,2,2,7,1,2,0,1,1,6,9,4,0,0,2,3,0,1,1778.5517,05/06/2020
9404,6,2,2,2,1,4,4,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,4,1,3,2,4,3,3,3,3,3,3,3,3,1,1,1,7,2,1,0,3,1,7,9,4,2,1,2,1,9,2,336.8524,05/06/2020
9405,6,2,2,1,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,4,4,3,2,1,3,3,3,1,1,3,3,1,1,1,3,2,1,0,3,2,6,9,4,7,2,2,2,3,2,11349.8963,05/06/2020
9406,6,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,4,1,3,3,4,3,3,3,1,3,3,1,1,1,1,2,5,1,1,1,1,1,4,9,4,7,2,2,3,2,2,3391.7341,05/06/2020
